commit_id,commit_date,content,author,type
7f3012c19f8716b75e54e92b555d7a6eb19b40bc,Thu Mar 30 00:00:00 EST 2006,o don't need the clean plugin declaration anymore git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@390303 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
fb414365e46e865378a8d12a88085e62e7a84204,Thu Mar 30 00:00:00 EST 2006,o adding directory removal to the verifier o adding a prebuild-hook to it0098 to nuke the created directory   ideally this IT should not use the archetype plugin for testing quoted system properties but this   works and the directory removal might come in handy later. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@390300 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
8bd35d3a43e6611de978e20f2e8e1b6f0e8e3aa6,Thu Mar 30 00:00:00 EST 2006,o generated project shouldn't be checked in git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@390285 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
1c14a4d6b4b44e39780ebd2307d34da47accb61f,Thu Mar 30 00:00:00 EST 2006,add missing pom git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@390278 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
8446133d06680a8156504bfd904929f186fbbfb0,Thu Mar 30 00:00:00 EST 2006,somehow didn't merge git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@390165 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
4a64af27fcdceee91a8ca4310479a47e7712f475,Thu Mar 30 00:00:00 EST 2006,ugh. update for 2.0.4-SNAPSHOT. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@390156 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
440d544f58de423383ef9a0dc2bedf65094035e1,Thu Mar 30 00:00:00 EST 2006,[MNG-2054] merge r390133 from trunk git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@390143 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
1c23ee16a4d80186a6d4ec77eb6ea3d2d8e09231,Thu Mar 30 00:00:00 EST 2006,[MNG-2054] make it0096 test the problem properly by going to enough depth. Rollback the "fix" for MNG-2130 as it didn't appear to be correct - it caused it0096  and it0099 passes anyway. I suspect there were other circumstances in the codebase causing 99 to fail at the time. You should not use a cached project for inheritence - it will accumulate inherited elements as was the case with MNG-2054. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@390133 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
ad0e65fc190214b79a1ce2e1c40dd29776071575,Thu Mar 30 00:00:00 EST 2006,[MNG-2186] merge r390098 from trunk git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@390101 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
32d8679253197b09529f44a6b789eee0ca0a6ac7,Thu Mar 30 00:00:00 EST 2006,[MNG-2186] correct the regression of MNG-1927 from the solution of MNG-2124 The interpolator was only working based on an incorrect assumption for a limited set of expressions. This assumption is guaranteed by the solution in the interim  until it can be properly reconsidered. The proper solution would be to not cache an interpolated model  and to apply path translation and then interpolation after retrieving the cached model. However this will require some other related changes and should be planned for 2.1. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@390098 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
